Username,Comment,Likes,Commented_on,Updated_on
Terry Thrasher,"I have followed you from the beginning and REALLY miss your earlier videos with cars that other people can afford. Everything is about expensive cars, Giveaways etc.... Loved the mustang, Camaro and even the trailhawk. Please go back to FUN videos",0,2023-08-31T15:22:02Z,2023-08-31T15:22:02Z
"last name first, first name last.",Now we get to watch them flog their car cleaning crap. At least it's not that hot sauce.,2,2023-08-31T15:01:48Z,2023-08-31T15:01:48Z
dave magdales,"Looks amazing, but keep the calipers red please... 🙏",0,2023-08-31T14:51:02Z,2023-08-31T14:51:02Z
Sterling Stauffer,Looks good but I just can’t stand it when they install dirty parts.  My ocd goes crazy 😵‍💫,0,2023-08-31T14:36:15Z,2023-08-31T14:36:15Z
Shnel M4,Should do white wheels and black brakes.but looking nice!,0,2023-08-31T14:32:17Z,2023-08-31T14:32:17Z
Raja Mohd Naim Raja Nazarudin,That scanner is a unit man. Nice,0,2023-08-31T14:12:52Z,2023-08-31T14:12:52Z
Josh Ehman,Nice work,0,2023-08-31T13:45:30Z,2023-08-31T13:45:30Z
Paul Carroll,White w/ black lettering on th calipers - FTW,0,2023-08-31T13:41:39Z,2023-08-31T13:41:39Z
Boss Jeff Moto Vlog,Hey guys I am your number 1 fans here in the Philippines love videos all the time😊😊😊❤,0,2023-08-31T13:35:43Z,2023-08-31T13:35:43Z
J Robertson,I love that you guys take the time to detail your cars inside and out. It shows how important that is and pride of ownership.,0,2023-08-31T13:31:42Z,2023-08-31T13:31:42Z
Justin Simpson,Parts 4 USA might be able to get you what you need for the G wagon.. just mentioned on Gas Monkey Garage..,0,2023-08-31T13:22:31Z,2023-08-31T13:22:31Z
J Robertson,Good idea to paint the brake calipers white.,0,2023-08-31T13:16:08Z,2023-08-31T13:16:08Z
chris mosca,Ya I would paint the caliper white it would look sick,1,2023-08-31T13:11:00Z,2023-08-31T13:11:00Z
